new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
. gitignore \n + # eclipse project files \n + * * / . classpath \n + * * / . project \n + * * / . settings / \n + \n,ignore eclipse project files,repo341
new file \n Binary files / dev / null and b / DemoApp . apk differ \n,Add demo apk,repo559
new file \n Binary files / dev / null and b / caprice / release / branchs . bmpr differ \n,add branch balsamip file,repo417
RoboSpice - samples \n - Subproject commit 71f18b80c6e3e7684b236eae7465b51b66cf1cdf \n + Subproject commit 390794013a5e9f935a32ab1035f62080ac8cee1f \n,updated samples,repo189
source / com / intellij / diagnostic / MessagePool . java \n - private static int MAX_POOL_SIZE_FOR_FATALS = 2 ; \n + private static int MAX_POOL_SIZE_FOR_FATALS = 100 ; \n,revert debugging change,repo145
new file \n Binary files / dev / null and b / distribution / openhabhome / webapps / images / greenhouse . png differ \n new file \n Binary files / dev / null and b / distribution / openhabhome / webapps / images / phone . png differ \n,Add icon greenhouse and phone,repo180
"platform / testFramework / src / _FirstInSuiteTest . java \n + \n + / / force platform JNA load \n + Class . forName ( "" com . sun . jna . Native "" ) ; \n",forcing platform JNA lib to load before a 3rd - party one,repo145
new file \n bigbluebutton - client / branding / default / README \n + This is the default BigBlueButton style . \n,add README,repo428
build . gradle \n - configure ( subprojects - coreModuleProjects ) { \n + configure ( subprojects - coreModuleProjects - project ( ' : spring - security - samples - messages - jc ' ) ) { \n,Deploy spring - security - samples - messages - jc,repo624
new file \n VERSION \n + 1 . 3 \n,added version checker,repo605
static - src / custom / org / jivesoftware / smack / SmackAndroid . java \n - ConfigureProviderManager . configureProviderManager ( ) ; \n + ConfigureProviderManager . configureProviderManager ( ) ; \n,Changed order of init in SmackAndroid ( ),repo672
gradle . properties \n - delveVersion = 0 . 10 . 136 \n + delveVersion = 0 . 10 . 154 \n,update dlv to 0 . 10 . 154,repo121
camel - core / src / main / java / org / apache / camel / converter / NIOConverter . java \n + buf . flip ( ) ; \n,CAMEL - 7209 Fixed the unit test failure of XmlConverterTest,repo910
docs / source / manual / core . rst \n - verify ( jersey ) . register ( any ( ThingResource . class ) ) ; \n + verify ( jersey ) . register ( isA ( ThingResource . class ) ) ; \n,Improved ' Testing Applications ' example,repo69
querydsl - lucene5 / src / main / java / com / querydsl / lucene5 / TypedQuery . java \n + * @ param < T > result type \n + * \n,Fix checkstyle issues,repo385
. gitignore \n + . idea \n,Ignore intellij project files,repo966
CHANGELOG . md \n + * Ability to clear conversation history \n,added changelog entry,repo352
"test / xml / test_c14n . rb \n + skip ( "" C14N Exclusive implementation will complete by next version after 1 . 5 . 1 "" ) \n",Skips a test of Exclusive C14N .,repo105
"src / cpp / session / modules / SessionLinter . cpp \n + STYLE , \n",add STYLE enum,repo535
pom . xml \n - < version > 41 < / version > \n + < version > 42 < / version > \n,Bump parent pom version to 42,repo181
pom . xml \n - < version > 0 . 8 . 11 < / version > \n + < version > 0 . 8 . 12 - SNAPSHOT < / version > \n,prepare for next development iteration,repo611
src / main / groovy / util / ConfigObject . java \n - import java . net . MalformedURLException ; \n,removed unnecessary import,repo524
. travis . yml \n - oraclejdk7 \n + - oraclejdk8 \n,"Revert "" remove jdk8 until we fix all the tests for it """,repo266
java / org / apache / catalina / tribes / io / BufferPool . java \n - protected static BufferPool instance = null ; \n + protected static volatile BufferPool instance = null ; \n,volatile should ensure double locking to work properly,repo763
deleted file \n,Delete fair - scheduler - allocation . xml for YARN - 1300,repo255
"sample / build . gradle \n - versionCode 3 \n - versionName "" 1 . 2 "" \n + versionCode 4 \n + versionName "" 1 . 3 "" \n",Release new sample app with Lollipop fix,repo615
CPU - Java / AIDLOverhead / README . markdown \n - This pair of sample Android apps demonstrate \n + This sample Android app demonstrates \n,fixed typo in README,repo160
new file \n Binary files / dev / null and b / bbb - images / install_ubuntu_63 / add_packages . png differ \n new file \n Binary files / dev / null and b / bbb - images / install_ubuntu_63 / bbb - screen - shot . png differ \n new file \n Binary files / dev / null and b / bbb - images / install_ubuntu_63 / bbb - url . png differ \n,Added screenshots for installing ubuntu from apt - get for 0 . 63,repo428
new file \n Binary files / dev / null and b / Application / LinkBubble / src / debug / res / drawable - nodpi / ic_alert_icon . png differ \n,Debug version of alert_icon,repo875
JSONPointer . java \n - this . refTokens = refTokens ; \n + this . refTokens = new ArrayList < String > ( refTokens ) ; \n,added copying to JSONPointer constructor,repo294
"plugins / git4idea / src / git4idea / commands / GitHandler . java \n + @ SuppressWarnings ( "" NullableProblems "" ) \n",Suppress warning,repo47
packager / launchPackager . command \n - $ THIS_DIR / packager . sh \n + pushd $ THIS_DIR \n + source packager . sh \n + popd \n,Fix launchCommand,repo1
pom . xml \n - < version > 0 . 1 . 1 - SNAPSHOT < / version > \n + < version > 0 . 1 . 1 < / version > \n,prepare release storm - hbase - 0 . 1 . 2,repo137
Binary files a / lib / installer - exclude / libjitsi . jar and b / lib / installer - exclude / libjitsi . jar differ \n Binary files a / lib / native / windows - 64 / jnwasapi . dll and b / lib / native / windows - 64 / jnwasapi . dll differ \n Binary files a / lib / native / windows / jnwasapi . dll and b / lib / native / windows / jnwasapi . dll differ \n,Adds additional debug / error information output in the Windows Audio Session API ( WASAPI ) integration .,repo794
library / src / org / lucasr / twowayview / TwoWayView . java \n + } else if ( ! mDataChanged & & mAdapter . isEnabled ( motionPosition ) ) { \n + performClick . run ( ) ; \n,Add missing case for click,repo92
new file \n Binary files / dev / null and b / FlipView / Demo / APK / Aphid - FlipView - Demo . apk differ \n,add prebuilt APK file of the demo,repo248
resources / src / standardSchemas / plugin . dtd \n - id CDATA # REQUIRED > \n + ref CDATA # REQUIRED > \n,more on greenify some plugin . xmls,repo145
src / main / java / redis / clients / jedis / BuilderFactory . java \n - import java . nio . ByteBuffer ; \n,Remove unnecessary imports,repo97
README . md \n - # Getting Started \n + # # Getting Started \n,"Change heading level for "" Getting Started "" section .",repo73
build . gradle \n - apply plugin : ' org . jetbrains . intellij ' \n,Do not apply intellij plugin explicitly,repo121
. travis . yml \n - extra - android - support \n - extra - android - m2repository \n - - extra - android - m2repository \n + - extra - google - m2repository \n - sys - img - armeabi - v7a - android - 21 \n,Fix travis,repo1
. travis . yml \n - - openjdk6 \n + - oraclejdk7 \n - TERM = dumb \n,Put back java7 building in Travis CI because javadoc stylesheet problem is gone .,repo170
Binary files a / portal - web / third - party / alloy - 1 . 0pr . zip and b / portal - web / third - party / alloy - 1 . 0pr . zip differ \n,LPS - 9617 Updating alloy ( needed to have Eduardo ' s component for form validation ),repo934
docs / _config . yml \n + kramdown : \n + input : GFM \n + hard_wrap : false \n - TACHYON_MASTER_VERSION_SHORT : 0 . 8 . 0 - SNAPSHOT \n + TACHYON_MASTER_VERSION_SHORT : 0 . 8 . 0 - SNAPSHOT \n,Add GFM input back but disable hard wrapping so we can have better formatting .,repo222
src / com / owncloud / android / ui / adapter / FileListListAdapter . java \n - / / Commented out as maybe changes to client library are needed \n,Download thumbnails from server with rest api,repo364
src / clj / clojure / version . properties \n - clojure . version . minor = 1 \n + clojure . version . minor = 2 \n - clojure . version . qualifier = new \n + clojure . version . qualifier = master \n,start rev 1 . 2 after merging new,repo55
. gitignore \n + code \n,Add code to .,repo75
common / net / minecraftforge / common / ForgeChunkManager . java \n - return playerTickets . get ( username ) . size ( ) - playerTicketLength ; \n + return playerTicketLength - playerTickets . get ( username ) . size ( ) ; \n,Fix logic issue in ForgeChunkManager . ticketCountAvaliableFor ( username ) PR,repo488
new file \n spock - core / src / main / resources / META - INF / services / org . codehaus . groovy . runtime . ExtensionModule \n + moduleName = spock - core \n + moduleVersion = 1 . 0 - SNAPSHOT \n + extensionClasses = spock . util . Exceptions \n,experimentally turned exception utils into groovy extension module,repo675
Binary files a / server / plugins / studio - 2 . 0 . zip and b / server / plugins / studio - 2 . 0 . zip differ \n,updated studio with profiler & auditing,repo223
portal - web / docroot / html / css / taglib / button . css \n + margin - top : - 10px ; \n,LPS - 55198 - reposition close btn in modal header for narrow view,repo934
owncloud - android - library \n - Subproject commit 8f068a284952a1efff937141c929b33562b03292 \n + Subproject commit aaebdefe563575bc890038a82ecabc730d5dcc65 \n,Add OC - Total - Length to UploadRemoteFileOperation,repo364
". travis . yml \n - - mvn test install - P withMongoTests , withPostgresTests , withRedisTests , withMemcachedTests , withScala , withLDAPTests \n + - mvn test - P withMongoTests , withPostgresTests , withRedisTests , withMemcachedTests , withScala , withLDAPTests \n",Testing different travis configurations .,repo906
new file \n bbb - voice / build / . gitignore \n + classes \n + dependency - cache \n + libs \n + sip \n + \n new file \n bbb - voice / lib / . gitignore \n + * . jar \n + * . war \n,adding build and lib folder while ignoring their contents .,repo428
"pom . xml \n - < version > [ 3 . 0 . 3 , ) < / version > \n + < version > [ 3 . 0 . 2 , ) < / version > \n",Fix build errors with m2e,repo27
build . properties \n - curr . release = 0 . 90 . 1 \n + curr . release = 0 . 96 \n,Updating release version to 0 . 96 in build . properties,repo387
rename from h2o - r / tests / testdir_demos / runit_NOPASS_citi_bike . R \n rename to h2o - r / tests / testdir_demos / runit_citi_bike . R \n,citibike small runit passes with spencers fix,repo597
graphics / java / android / graphics / drawable / RippleDrawable . java \n + mHasValidMask = false ; \n,Invalidate the cached ripple drawable mask if mask layer changes,repo67
"modules / jquery / src / main / webapp / jquery / jquery . atmosphere . js \n - version : 0 . 7 , \n + version : 0 . 8 , \n",Fix version - > 0 . 8,repo210
Binary files a / publications / whitepaper / druid . pdf and b / publications / whitepaper / druid . pdf differ \n,updated pdf,repo125
Binary files a / gdx / libs / macosx32 / libgdx . dylib and b / gdx / libs / macosx32 / libgdx . dylib differ \n,updated mac natives,repo21
include / ui / egl / android_natives . h \n - / / Backwards compatibility . . . please switch to ANativeWindow . \n - typedef struct ANativeWindow android_native_window_t ; \n - \n,retire android_native_window_t,repo67
"update - downloads . rb \n - raise "" Jasmine pages submodule isn ' t present . Run git submodule update - - init "" \n + raise "" Robolectric pages submodule isn ' t present . Run git submodule update - - init "" \n",Wrote release notes .,repo206
Binary files a / bigbluebutton - client / resources / prod / bbb - deskshare - applet - 0 . 8 . 1 . jar and b / bigbluebutton - client / resources / prod / bbb - deskshare - applet - 0 . 8 . 1 . jar differ \n,update deskshare applet,repo428
owncloud - android - library \n - Subproject commit 9a3ad5a4eca76e2d0c2771a20668e93865b6eb67 \n + Subproject commit b3ac14f575da5100eecff00de744d9330b668f66 \n,Updated reference to library after filtering not public shares,repo364
src / cpp / session / modules / SessionRParser . hpp \n + if ( ! parseOptions_ . recordStyleLint ( ) & & item . type = = LintTypeStyle ) \n + return ; \n + \n,don ' t record style lint unless requested,repo535
"src / bin / groovy \n - if [ $ 1 = "" - cp "" ] | | [ $ 1 = "" - classpath "" ] ; then \n + if [ "" $ 1 "" = "" - cp "" ] | | [ "" $ 1 "" = "" - classpath "" ] ; then \n","quoted evaluation of first argument to ' groovy ' shell script , thus",repo524
"bigbluebutton - config / bin / bbb - conf \n - # - XXX \n + # - Legacy \n - echo "" # # $ CLEAN # # "" \n",Removed debugging information,repo428
javascript / src / components / bootstrap / BootstrapModal . jsx \n + event . target . checkValidity ( ) ; \n,Triggering html5 form validation when form is submitted .,repo266
Binary files a / portal - web / third - party / alloy - 1 . 0 . 1 . zip and b / portal - web / third - party / alloy - 1 . 0 . 1 . zip differ \n,Updating Alloy to rev . 81830 ( LPS - 17508 and LPS - 17510 ),repo934
build . gradle \n - description = ' Distribute release artifacts to Bintray and S3 ' \n + description = ' Distribute release artifacts to S3 ' \n,Fix distribute task description,repo46
new file \n Binary files / dev / null and b / lib / sigar / libsigar - x86 - freebsd - 5 . so differ \n new file \n Binary files / dev / null and b / lib / sigar / libsigar - x86 - freebsd - 6 . so differ \n,Add freebsd sigar libs,repo2
"config / elasticsearch . yml \n - # unicast . hosts : [ "" host1 "" , "" host2 "" ] \n + # unicast . zen . hosts : [ "" host1 "" , "" host2 "" ] \n","Problem with default configuration file for unicast , closes # 1005 .",repo2
"library / src / main / res / layout / search_query_section . xml \n + android : longClickable = "" false "" \n",Fix IndexOutOfBoundsException setSpan happening on Samsung devices by simply disabling long click events on edittext .,repo599
. gitignore \n - libgdx - nightlies . zip \n + libgdx - * . zip \n,added ignore for versioned zip products in addition to existing nightly zip ignore,repo21
CHANGELOG . md \n + * STORM - 1735 : Nimbus should log that replication succeeded when min replicas was reached exactly \n,add STORM - 1735 to CHANGELOG . md,repo137
source / com / intellij / util / descriptors / impl / ConfigFileImpl . java \n - public PsiFile getPsiFile ( ) { \n + public synchronized PsiFile getPsiFile ( ) { \n,multithreading issues ( caused by parallel injected - code highlighting ),repo145
engine / src / main / java / org / terasology / network / internal / NetworkSystemImpl . java \n + storageManager = null ; \n,Fix memory leak in shutdown of NetworkSystemImpl .,repo439
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 10 "" \n + version in ThisBuild : = "" 1 . 0 . 11 - SNAPSHOT "" \n",setting version to 1 . 0 . 11 - SNAPSHOT,repo194
SpongeCommon \n - Subproject commit 599445e6f4cdc9f39c6bb979f9c275fa99c7422e \n + Subproject commit edf624f78feb169008ad54fb5dc5ad81156338f8 \n,Update SpongeCommon for ice and snow capturing fix .,repo995
docs / indexbackends . txt \n + include : : solr . txt [ ] \n + \n,Add Solr chapter to docs TOC,repo108
src / test / java / com / google / devtools / build / lib / packages / util / PackageFactoryApparatus . java \n - CachingPackageLocator getPackageLocator ( ) { \n + public CachingPackageLocator getPackageLocator ( ) { \n,Make PackageFactoryApparatus # getPackageLocator public .,repo73
"externs / chrome . js \n - / * * \n - * Make the chrome namespace available via window , window . top , etc . \n - * @ const \n - * / \n - window . chrome ; \n - \n",Remove unnecessary redefinition of window . chrome namespace,repo215
old mode 100644 \n new mode 100755 \n,Make build_resources executable,repo215
rename from h2o - test - integ / tests / hdfs - bigdata / runit_NOPASS_GLRM_num_1MRows_varKCols_xlarge . R \n rename to h2o - test - integ / tests / hdfs - bigdata / runit_GLRM_num_1MRows_varKCols_xlarge . R \n,"Revert "" move test to NOPASS because it takes too long to run ~ 12hr .",repo597
"portal - impl / src / com / liferay / portal / service / impl / BackgroundTaskLocalServiceImpl . java \n - throws PortalException , SystemException { \n + throws SystemException { \n",LPS - 37811 Remove unthrown exception,repo934
tools / layoutlib / bridge / src / com / android / layoutlib / bridge / impl / RenderAction . java \n - mContext = null ; \n,Fix NPE in layoutlib .,repo67
"media / jni / android_mtp_MtpDatabase . cpp \n - ALOGE ( "" unsupported type in getObjectPropertyValue \ n "" ) ; \n + ALOGE ( "" unsupported type in setObjectPropertyValue \ n "" ) ; \n",Fixed incorrect method name in ALOGE .,repo67
Binary files a / python / edu / interactive - learning - python / resources / courses / Introduction to Python . zip and b / python / edu / interactive - learning - python / resources / courses / Introduction to Python . zip differ \n,updated introduction course,repo145
scripts / ReleasePlugin . groovy \n - SVNURL svnURL = importBaseToSVN ( importBaseDirectory ) \n + svnURL = importBaseToSVN ( importBaseDirectory ) \n,"fix for GRAILS - 5402 "" Cannot release plugin due to MissingPropertyException on ReleasePlugin script """,repo353
media / libmedia / ToneGenerator . cpp \n - if ( toneType > = NUM_TONES ) \n + if ( ( toneType < 0 ) | | ( toneType > = NUM_TONES ) ) \n,Don ' t allow negative numbers in ToneGenerator toneType parameter,repo67
. hgtags \n + b2ab60fdae5b375ec8209f5c51dc2d08499072cb default / master \n + a970aba8f8b54431042706e2907c8e75739b682d default / master \n,Added tag default / master for changeset a970aba8f8b5,repo210
build . gradle \n - versionCode 61 \n + versionCode 62 \n,bumped version code,repo352
"AndroidManifest . xml \n - android : smallScreens = "" false "" \n + android : smallScreens = "" true "" \n",Enabled support for small screens,repo618
languagetool - language - modules / en / src / main / resources / org / languagetool / resource / en / hunspell / spelling . txt \n + tuple \n + tuples \n,"add "" tuple "" and "" tuples "" ( fixes # 394 )",repo989
version . gradle \n - shortVersion = ' 4 . 1 . 7 ' \n - isSnapshot = false \n + shortVersion = ' 4 . 1 . 8 ' \n + isSnapshot = true \n,Smack 4 . 1 . 8 - SNAPSHOT,repo796
". travis . yml \n - - secure : "" TODO get me ! "" \n - - secure : "" TODO get me ! "" \n + - secure : "" TM2N / yo3azbA7 + J6WG0W1RmK4vvS7b4JzvJP8NcXpoZCQw2Je1nQqmKS3F / 04 / DEUf8 + SKVh2thKEeUxLN8knCO0OQLxeKIFj9PLvtgHnV8beB + pPxUdpEvMlB6ISeDsOZ098zoax28zfMwR7 + uMeGe2VbtTSpwtqt4jkWx3ooA = "" \n + - secure : "" A5flBI / PCmmxuHjqG73CIXqHYg8X1GWloA3jv0zrhCAuK5m3nAvt7JY2qom22ttEY9JI32dlArxhusrKib18gKNgZbxzoN5PydkG6T0uuGZw + uZM6jPiTlvkC0F4ikL6lg1dBap4BoakDMwAPfb11UpETamBGKOWdopLqw6T6w0 = "" \n",Add credentials for CI snapshot deployments .,repo311
Binary files a / lib / installer - exclude / libjitsi . jar and b / lib / installer - exclude / libjitsi . jar differ \n,Cleans up background threads related to speech activity more aggressively .,repo794
manual / src / docinfo . xml \n - < year > 2014 < / year > \n + < year > 2015 < / year > \n,Update the year for the manual .,repo181
fml / common / fml_at . cfg \n + # ComponentVillage \n + public aby \n,"Allow access to the type "" ComponentVillage """,repo488
src / gwt / src / org / rstudio / studio / client / common / DefaultGlobalDisplay . java \n + dismissProgress ( ) ; \n,Rename File ( same name ) - Error and Hangs,repo535
build . gradle \n - classpath ' com . android . tools . build : gradle : 0 . 6 . + ' \n + classpath ' com . android . tools . build : gradle : 0 . 7 . + ' \n,Updated gradle from 0 . 6 to 0 . 7,repo61
h2o - genmodel / src / main / java / hex / genmodel / tools / package - info . java \n - * Tools that use generated POJO models . \n + * Tools that use generated POJO or MOJO models . \n,Improve doc string .,repo597
jOOQ / src / main / java / org / jooq / impl / DefaultRenderContext . java \n + case ACCESS : \n,Fixed MS Access identifier quoting,repo578
codecov . yml \n - # \n - # patch coverage doesn ' t seem very helpfu \n + \n + # patch coverage doesn ' t seem very helpful \n,fix small typo in codecov . yml,repo472
new file \n,Add Lithuanian language,repo960
"manager / wifi . py \n + reset_p2p_channels ( ' p2p0 ' , get_p2p_supplicant_control_socket_dir ( ) ) \n",reset p2p0 interface channel as well,repo384
README . md \n - To build from Eclipse ( work in progress see [ GROOVY - 6226 ] ( https : / / jira . codehaus . org / browse / GROOVY - 6226 ) for details ) \n + To build from Eclipse \n,remove mention of GROOVY - 6226 ( Configure Eclipse Plugin ) now that the issue is closed,repo524
. gitignore \n - < < < < < < < HEAD \n - target \n - . project \n - . settings \n - = = = = = = = \n - . classpath \n - liquibase . iws \n - out \n - > > > > > > > eb02067 . . . Ignoring nb - configuration . xml \n,Ooops . . . forgot a conflict in .,repo871
new file \n Binary files / dev / null and b / tpc / lib / protostuff - json - 1 . 0 . 0 . M0 . jar differ \n,add protostuff - json jar to lib,repo505
CHANGELOG . md \n + * STORM - 833 : Logging framework logback - > log4j 2 . x \n,Added STORM - 833 to Changelog,repo137
app / build . gradle \n - versionCode 25 \n + versionCode 26 \n,Bump up internal version,repo919
"src / bin / groovy \n - if [ $ 1 = "" - cp "" ] | | [ $ 1 = "" - classpath "" ] ; then \n + if [ "" $ 1 "" = "" - cp "" ] | | [ "" $ 1 "" = "" - classpath "" ] ; then \n","quoted evaluation of first argument to ' groovy ' shell script , thus",repo565
new file \n README . md \n + Documentation coming soon . \n,Create README . md,repo484
rename from modules / sdk / gradle - plugins - workspace / samples / modules / apps / . touch \n rename to modules / sdk / gradle - plugins - workspace / samples / modules / . touch \n deleted file \n deleted file \n,LPS - 61767 Remove sample module directories,repo934
Binary files a / bigbluebutton - config / web / default . pdf and b / bigbluebutton - config / web / default . pdf differ \n Binary files a / bigbluebutton - config / web / default . ppt and b / bigbluebutton - config / web / default . ppt differ \n,Updated default PDF with text on each blank page,repo428
"java / org / apache / catalina / security / SecurityClassLoad . java \n - "" core . StandardWrapper $ 1 "" ) ; \n - loader . loadClass \n - ( basePackage + \n",Remove pre - loading of inner class that was removed as part of r605000 .,repo763
deleted file \n querydsl - support \n - Subproject commit b5248476d5fc8daf158d173438df9ceca08b23b5 \n,remove querydsl - support,repo839
build . gradle \n - versionCode = 15087 \n - versionName = ' 21 . 1 . 2 ' \n + versionCode = 15090 \n + versionName = ' 22 . 0 . 0 - beta1 ' \n,Prepare version 22 - beta1 .,repo779
rename from portal - impl / src / custom - sql / shopping . xml \n rename to modules / apps / shopping / shopping - service / src / META - INF / custom - sql / shopping . xml \n,LPS - 55355 ( Service ) Move custom sql,repo934
Binary files a / sdk / ant - lib / ant - jme . jar and b / sdk / ant - lib / ant - jme . jar differ \n,"improve ant task for fetching wiki pages , no build fail when data cannot be loaded",repo728
vm / core / src / test / CuTest . h \n - # define STRING_MAX 256 \n - # define STRING_INC 256 \n + # define CU_STRING_MAX 256 \n + # define CU_STRING_INC 256 \n,Fix # define conflicts with mingw - w64,repo444
"Libraries / CustomComponents / NavigationExperimental / NavigationHeaderTitle . js \n - children : React . PropTypes . string . isRequired , \n + children : React . PropTypes . node . isRequired , \n",Accept children of all types for NavigationHeaderTitle,repo1
OsmAnd / src / net / osmand / plus / views / MapTileLayer . java \n + ITileSource map = this . map ; \n,Fix NPE bug,repo960
pom . xml \n + < executions > \n + < execution > \n + < goals > \n + < goal > test - jar < / goal > \n + < / goals > \n + < / execution > \n + < / executions > \n,Build and install the tests jar artifact,repo611
python / helpers / StdlibTypes3 . properties \n + __builtin__ . chr = \ \n + : type i : int \ n \ \n + : rtype : str \ n \ \n + \n,Fixed type signature of chr ( ) for Python 3 ( PY - 9042 ),repo145
Libraries / Components / TabBarIOS / TabBarItemIOS . ios . js \n - * @ flow \n,Temporarily disable flow in TabBarItemIOS,repo1
. gitignore \n + # IntelliJ files \n - . idea / \n + . idea / \n,improve gitignore,repo45
OsmAnd / res / layout / favorite_edit_dialog . xml \n - < / LinearLayout > \n + < / ScrollView > \n,Fix layout,repo960
Binary files a / cas - server - webapp / src / main / webapp / images / key - point_br . gif and b / cas - server - webapp / src / main / webapp / images / key - point_br . gif differ \n Binary files a / cas - server - webapp / src / main / webapp / images / key - point_tr . gif and b / cas - server - webapp / src / main / webapp / images / key - point_tr . gif differ \n,Fix the rounded corner gifs on the login page .,repo379
pom . xml \n - < version > 1 . 2 . 1 < / version > \n + < version > 1 . 3 . 0 < / version > \n,Use OkHttp 1 . 3 . 0 .,repo13
"src / edu / stanford / nlp / sentiment / BuildBinarizedDataset . java \n - setUnknownLabels ( binarized , mainLabel ) ; \n + setUnknownLabels ( collapsedUnary , mainLabel ) ; \n",Fix a bug for setting labels in BuildBinarizedDataset,repo269
CHANGELOG . md \n + * STORM - 1672 : Stats not get class cast exception \n,add STORM - 1672 to CHANGELOG . md,repo137
"pom . xml \n - project . addCompileSourceRoot ( "" src / main / groovy "" ) \n + project . addCompileSourceRoot ( "" $ project . basedir / src / main / groovy "" ) \n",Source jars are missing sources for classes written in Groovy,repo675
servers / pom . xml \n + < version > 2 . 0 . 8 < / version > \n,Explicitly specify jspc version,repo222
src / org / bukkit / event / block / BlockPhysicsEvent . java \n - import org . bukkit . ItemStack ; \n,Removed ItemStack import,repo400
deleted file \n Binary files a / jOOQ / src / main / java / Field . class and / dev / null differ \n deleted file \n Binary files a / jOOQ / src / main / java / Test . class and / dev / null differ \n,Removed unneeded test .,repo578
lucida / commandcenter / controllers / Service . py \n - Service . LEARNERS [ learn_type ] . append ( self ) \n + Service . LEARNERS [ learn_type ] . append ( self ) \n,Add apache logs folder,repo113
fml \n - Subproject commit 1ff048062c7f122731619258a9e5a68a6111d5dd \n + Subproject commit dc02d56195606d3ba2f1c5036fc8c0ddb67c843f \n,MinecraftForge / FML @ dc02d56195606d3ba2f1c5036fc8c0ddb67c843f Fix derp with ModType annotation .,repo488
Binary files a / CommandLine . pdf and b / CommandLine . pdf differ \n,updated command line reference usage,repo208
sonar - application / pom . xml \n - < assembly . includeBaseDirectory > true < / assembly . includeBaseDirectory > \n,Remove Dead code,repo639
portal - kernel / src / com / liferay / portal / kernel / servlet / StringServletResponse . java \n + \n + super . setStatus ( _status ) ; \n,"LPS - 8772 Missed one line , caused ETagFilter not working correctly",repo934
deleted file \n test . js \n - \n,Removing rouge file .,repo383
old mode 100644 \n new mode 100755 \n Binary files a / OsmAnd / res / drawable - hdpi / street_name . png and b / OsmAnd / res / drawable - hdpi / street_name . png differ \n new file \n Binary files / dev / null and b / OsmAnd / res / drawable - large / street_name . png differ \n,Add street name,repo960
CHANGELOG \n + ( RB = 184337 ) \n + Adding support for partial update methods on simple resources . \n + \n - - - - - \n,Adding changelog,repo568
portal - impl / src / content / Language . properties \n + filter - by - user = Filter By User \n + \n,Missing language key,repo934
platforms / catalog / pom . xml \n + < scope > test < / scope > \n,Catalog should have test scope for jackson,repo910
pom . xml \n + < goals > deploy < / goals > \n,Add the goal ' deploy ' to maven release plugin,repo639
Binary files a / header . png and b / header . png differ \n,"Revert "" Reduced header size """,repo546
docs / index . rst \n - Version : 0 . 7 - SNAPSHOT \n + Version : 0 . 7 \n,bumped version in reference docs,repo675
wifi / java / android / net / wifi / WifiStateMachine . java \n + mDelayedStopCounter + + ; \n,Ignore outstanding delayed shutdown on restart,repo67
CHANGELOG \n - 1 . 8 . 25 \n + 1 . 8 . 26 \n - - - - - - \n - 1 . 8 . 24 \n + 1 . 8 . 25 \n - - - - - - \n,update changelog to match published versions,repo568
rename from modules / apps / web - experience - management / asset / asset - browser - web / src / main / java / com / liferay / asset / browser / web / display / context / AssetBrowserDisplayContext . java \n rename to modules / apps / web - experience / asset / asset - browser - web / src / main / java / com / liferay / asset / browser / web / display / context / AssetBrowserDisplayContext . java \n,LPS - 63951 Moves class,repo934
Binary files a / lib / installer - exclude / libjitsi . jar and b / lib / installer - exclude / libjitsi . jar differ \n,Add libjitsi again with new bccontrib separation,repo794
Binary files a / modules / branding / src / main / nbm - branding / core / core . jar / org / netbeans / core / startup / splash . gif and b / modules / branding / src / main / nbm - branding / core / core . jar / org / netbeans / core / startup / splash . gif differ \n,updated splash,repo445
"benchmark / bench . groovy \n - def cp = "" . / exec / "" \n + def cp = "" . / exec / "" + File . pathSeparatorChar \n",accidentally removed path separator,repo565
engine / src / core / com / jme3 / animation / SkeletonControl . java \n + super . setSpatial ( spatial ) ; \n,added a call to super . setSpatial in setSpatial,repo728
gradle . properties \n - version = 1 . 1 . 53 \n + version = 1 . 1 . 54 \n,Bump up revision number .,repo261
spock - grails / src / groovy / grails / plugin / spock / test / listener / OverallRunListener . groovy \n - println failure . description . methodName \n,Removed rogue println .,repo675
build . gradle \n - nettyVersion = ' 4 . 0 . 35 . Final ' \n + nettyVersion = ' 4 . 0 . 36 . Final ' \n,upgraded netty to 4 . 0 . 36,repo552
lib / nokogiri / xslt . rb \n - end \n + end \n,Indent a line .,repo105
build / shared / lib / preferences . txt \n + console = true \n,add console line back ( since it ' s still in the code ),repo185
enterprise / transactions . txt \n - = = Introduction = = \n - \n,bumped up intro sub - section of transactions to be first paragraph of transactions chapter,repo181
core / java / android / bluetooth / BluetoothDeviceProfileState . java \n - processCommand ( DISCONNECT_A2DP_OUTGOING ) ; \n + deferMessage ( message ) ; \n,Bluez doesn ' t handle disconnect while connecting well .,repo67
java / org / apache / catalina / connector / Request . java \n - * The Subject associated with the current AccessControllerContext \n + * The Subject associated with the current AccessControlContext \n,Correct a typo,repo67
trunk / JLanguageTool / CHANGES . txt \n - 1 . 4 ( 2011 - xx - yy ) \n + 1 . 4 ( release planned for end of June 2011 ) \n - English : added a few new rules \n - German : added a few new rules \n,add the planned release date,repo989
hadoop / README . txt \n - git checkout - - track origin / tomk - hadoop < < < < < TEMPORARY until code merges back into master branch ( post - full - regression - test ) \n,Remove branch .,repo316
